symbol,age,outcome,r,gross_r,cost_r
SUI/USDT,132,+2R,1.5381287312152594,2.0,0.4618712687847406
SUI/USDT,1,+1R,0.4326957065443503,1.0,0.5673042934556497
SUI/USDT,0,zone_not_touched,,,
SUI/USDT,1,zone_not_touched,,,
SUI/USDT,25,BE,0.055100873493986624,0.48223942771085854,0.4271385542168719
SUI/USDT,956,data_quality_ambiguous,,,0.43139582443074925
SUI/USDT,55,Pending,,,
ENA/USDT,40,BE,0.03145739091718769,0.27531313446126526,0.24385574354407757
ENA/USDT,4,SL,-1.4551518987342051,-1.152050632911407,0.30310126582279795
ENA/USDT,14,BE,0.042350794621054455,0.37065152811739654,0.3283007334963421
