symbol,age,outcome,r,gross_r,cost_r
NTPC.NS,0,+1R,0.5270277664004182,1.0,0.4729722335995818
NTPC.NS,1,+1R,0.4972115086244401,1.0,0.5027884913755599
NTPC.NS,1,zone_not_touched,,,
NTPC.NS,11,Neither,-0.02320951015152567,0.4741391078239166,0.4973486179754423
NTPC.NS,17,+2R,1.4821480382719692,2.0,0.5178519617280309
NTPC.NS,91,zone_not_touched,,,
NTPC.NS,5,SL,-1.7425126575800358,-1.2378680926359449,0.5046445649440909
NTPC.NS,7,SL,-1.751502100444204,-1.24074379412803,0.5107583063161741
NTPC.NS,19,+1R,0.47481458098738893,1.0,0.5251854190126111
NTPC.NS,16,zone_not_touched,,,
NTPC.NS,0,SL,-1.784559547183329,-1.2506386907176312,0.533920856465698
NTPC.NS,15,+2R,1.4475400086528531,2.0,0.552459991347147
BAJFINANCE.NS,20,data_quality_ambiguous,,,0.4056131885387369
BAJFINANCE.NS,3,SL,-1.6169698064849234,-1.1970271293937707,0.41994267709115285
BAJFINANCE.NS,29,BE,0.051016769528705874,0.4468622148499772,0.3958454453212713
BAJFINANCE.NS,6,SL,-1.679176031387541,-1.2176068558501274,0.46156917553741356
BAJFINANCE.NS,1,+1R,0.5170526514325127,1.0,0.48294734856748733
BAJFINANCE.NS,3,+1R,0.5602206829449552,1.0,0.43977931705504475
BAJFINANCE.NS,23,+1R,0.5422748238784094,1.0,0.45772517612159064
BAJFINANCE.NS,0,+1R,0.5680610146607992,1.0,0.43193898533920083
BAJFINANCE.NS,5,SL,-1.658577850406047,-1.210337444147794,0.448240406258253
BAJFINANCE.NS,53,zone_not_touched,,,
BAJFINANCE.NS,0,BE,0.05598282116199066,0.4903604773313315,0.4343776561693408
BAJFINANCE.NS,5,BE,0.05445074469900718,0.47694082948043703,0.42249008478142985
BAJFINANCE.NS,34,SL,-1.6350338208840882,-1.202805764838138,0.43222805604595027
HINDUNILVR.NS,53,zone_not_touched,,,
HINDUNILVR.NS,12,zone_not_touched,,,
HINDUNILVR.NS,3,+1R,0.4951173493558537,1.0,0.5048826506441463
HINDUNILVR.NS,0,+2R,1.4651816771565391,2.0,0.534818322843461
HINDUNILVR.NS,134,SL,-1.7006572993704197,-1.2237985602592703,0.47685873911114934
HINDUNILVR.NS,88,SL,-1.752474543422893,-1.2410548763348697,0.5114196670880233
HINDUNILVR.NS,120,zone_not_touched,,,
HINDUNILVR.NS,36,data_quality_ambiguous,,,0.48741579952183434
HINDUNILVR.NS,0,zone_not_touched,,,
HINDUNILVR.NS,132,+2R,1.5295081469179566,2.0,0.4704918530820435
HINDUNILVR.NS,85,+2R,1.5000837578637258,2.0,0.4999162421362741
HINDUNILVR.NS,463,data_quality_ambiguous,,,0.4613166550512255
HINDUNILVR.NS,28,BE,0.052628699410291746,0.4609813087033292,0.40835260929303746
HINDUNILVR.NS,1,zone_not_touched,,,
HINDUNILVR.NS,0,Neither,-0.782542250206617,-0.2830099890495459,0.49953226115707117
HINDUNILVR.NS,188,SL,-1.6084291484016568,-1.1942949930907492,0.4141341553109077
HINDUNILVR.NS,9,zone_not_touched,,,
KOTAKBANK.NS,13,BE,0.05667043574032993,0.496383378747353,0.43971294300702307
KOTAKBANK.NS,0,+1R,0.5148005682319591,1.0,0.4851994317680409
KOTAKBANK.NS,14,zone_not_touched,,,
KOTAKBANK.NS,96,SL,-1.6417573462881343,-1.2056367070659535,0.4361206392221809
KOTAKBANK.NS,43,+2R,1.4870241942527396,2.0,0.5129758057472605
KOTAKBANK.NS,0,+1R,0.5527290397096005,1.0,0.4472709602903995
KOTAKBANK.NS,198,SL,-1.6649989908407101,-1.2123915517724675,0.4526074390682427
KOTAKBANK.NS,272,+1R,0.5944536889822032,1.0,0.40554631101779687
KOTAKBANK.NS,10,zone_not_touched,,,
KOTAKBANK.NS,1,+1R,0.5251815095515766,1.0,0.4748184904484234
KOTAKBANK.NS,34,+1R,0.531050529546064,1.0,0.468949470453936
